lat, long, sos
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 6
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 6
42.5872993, -122.8139994, 10
42.5872993, -122.8139994, 17
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 6
42.5872993, -122.8139994, 17
42.5872993, -122.8139994, 9
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 14
42.5872993, -122.8139994, 8
42.5872993, -122.8139994, 6
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 3
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 12
42.5872993, -122.8139994, 10
42.5872993, -122.8139994, 10
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 14
42.5872993, -122.8139994, 33
42.5872993, -122.8139994, 8
42.5872993, -122.8139994, 6
42.5872993, -122.8139994, 0
42.5872993, -122.8139994, 18
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 3
42.5872993, -122.8139994, 3
42.5872993, -122.8139994, 4
42.5872993, -122.8139994, 4
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 8
42.5872993, -122.8139994, 14
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 11
42.5872993, -122.8139994, 10
42.5872993, -122.8139994, 8
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 13
42.5872993, -122.8139994, 9
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 5
42.5872993, -122.8139994, 3
42.5872993, -122.8139994, 3
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 6
42.5872993, -122.8139994, 6
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 18
42.5872993, -122.8139994, 9
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 10
42.5872993, -122.8139994, 1
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 2
42.5872993, -122.8139994, 11
42.5872993, -122.8139994, 9
42.5872993, -122.8139994, 10
42.5872993, -122.8139994, 4
42.5872993, -122.8139994, 11
